description;info_link;name;year
Peñarol;https://es.wikipedia.org/wiki/Copa_de_Campeones_de_Am%C3%A9rica_1960;Olimpia - Peñarol;1960
Peñarol;https://es.wikipedia.org/wiki/Copa_de_Campeones_de_Am%C3%A9rica_1961;Palmeiras - Peñarol;1961
Santos;https://es.wikipedia.org/wiki/Copa_de_Campeones_de_Am%C3%A9rica_1962;Santos - Peñarol;1962
Santos;https://es.wikipedia.org/wiki/Copa_de_Campeones_de_Am%C3%A9rica_1963;Santos - Boca Juniors;1963
Independiente;https://es.wikipedia.org/wiki/Copa_de_Campeones_de_Am%C3%A9rica_1964;Independiente - Nacional;1964
Independiente;https://es.wikipedia.org/wiki/Copa_de_Campeones_de_Am%C3%A9rica_1965;Independiente - Peñarol;1965
Peñarol;https://es.wikipedia.org/wiki/Copa_Libertadores_1966;Peñarol - River Plate;1966
Racing Club;https://es.wikipedia.org/wiki/Copa_Libertadores_1967;Racing Club - Nacional;1967
Estudiantes de la Plata;https://es.wikipedia.org/wiki/Copa_Libertadores_1968;Estudiantes de la Plata - Palmeiras;1968
Estudiantes de la Plata;https://es.wikipedia.org/wiki/Copa_Libertadores_1969;Nacional - Estudiantes de la Plata;1969
Estudiantes de la Plata;https://es.wikipedia.org/wiki/Copa_Libertadores_1970;Estudiantes de la Plata - Peñarol;1970
Nacional;https://es.wikipedia.org/wiki/Copa_Libertadores_1971;Nacional - Estudiantes de la Plata;1971
Independiente;https://es.wikipedia.org/wiki/Copa_Libertadores_1972;Independiente - Universitario;1972
Independiente;https://es.wikipedia.org/wiki/Copa_Libertadores_1973;Colo Colo - Independiente;1973
Independiente;https://es.wikipedia.org/wiki/Copa_Libertadores_1974;Independiente - Sao Paulo;1974
Independiente;https://es.wikipedia.org/wiki/Copa_Libertadores_1975;Unión Española - Indepeniente;1975
River Plate;https://es.wikipedia.org/wiki/Copa_Libertadores_1976;River Plate - Cruzeiro;1976
Boca Juniors;https://es.wikipedia.org/wiki/Copa_Libertadores_1977;Boca Juniors - Cruzeiro;1977
Boca Juniors;https://es.wikipedia.org/wiki/Copa_Libertadores_1978;Boca Juniors - Deportivo Cali;1978
Olimpia;https://es.wikipedia.org/wiki/Copa_Libertadores_1979;Olimpia - Boca Juniors;1979
Nacional;https://es.wikipedia.org/wiki/Copa_Libertadores_1980;Internacional - Nacional;1980
Flamengo;https://es.wikipedia.org/wiki/Copa_Libertadores_1981;Cobreloa - Flamengo;1981
Peñarol;https://es.wikipedia.org/wiki/Copa_Libertadores_1982;Cobreloa - Peñarol;1982
Gremio;https://es.wikipedia.org/wiki/Copa_Libertadores_1983;Peñarol - Gremio;1983
Independiente;https://es.wikipedia.org/wiki/Copa_Libertadores_1984;Indepeniente - Gremio;1984
Argentinos Juniors;https://es.wikipedia.org/wiki/Copa_Libertadores_1985;Argentinos Juniors - America de Cali;1985
River Plate;https://es.wikipedia.org/wiki/Copa_Libertadores_1986;America de Cali - River Plate;1986
Peñarol;https://es.wikipedia.org/wiki/Copa_Libertadores_1987;America de Cali - Peñarol;1987
Nacional;https://es.wikipedia.org/wiki/Copa_Libertadores_1988;Nacional - Newell's Old Boys;1988
Atlético Nacional;https://es.wikipedia.org/wiki/Copa_Libertadores_1989;Olimpia - Atlético Nacional;1989
Olimpia;https://es.wikipedia.org/wiki/Copa_Libertadores_1990;Olimpia - Barcelona;1990
Colo Colo;https://es.wikipedia.org/wiki/Copa_Libertadores_1991;Colo Colo - Olimpia;1991
Sao Paulo;https://es.wikipedia.org/wiki/Copa_Libertadores_1992;Sao Paulo - Newell's Old Boys;1992
Sao Paulo;https://es.wikipedia.org/wiki/Copa_Libertadores_1993;Universidad Católica - Sao Paulo;1993
Velez Sarsfield;https://es.wikipedia.org/wiki/Copa_Libertadores_1994;Sao Paulo - Velez Sarsfield;1994
Gremio;https://es.wikipedia.org/wiki/Copa_Libertadores_1995;Gremio - Atlético Nacional;1995
River Plate;https://es.wikipedia.org/wiki/Copa_Libertadores_1996;America de Cali - River Plate;1996
Cruzeiro;https://es.wikipedia.org/wiki/Copa_Libertadores_1997;Cruzeiro - Sporting Cristal;1997
Vasco da Gama;https://es.wikipedia.org/wiki/Copa_Libertadores_1998;Vasco da Gama - Barcelona;1998
Palmeiras;https://es.wikipedia.org/wiki/Copa_Libertadores_1999;Palmeiras - Deportivo Cali;1999
Boca Juniors;https://es.wikipedia.org/wiki/Copa_Libertadores_2000;Boca Juniors - Palmeiras;2000
Boca Juniors;https://es.wikipedia.org/wiki/Copa_Libertadores_2001;Cruz Azul - Boca Juniors;2001
Olimpia;https://es.wikipedia.org/wiki/Copa_Libertadores_2002;Olimpia - Sao Caetano;2002
Boca Juniors;https://es.wikipedia.org/wiki/Copa_Libertadores_2003;Boca Juniors - Santos;2003
Once Caldas;https://es.wikipedia.org/wiki/Copa_Libertadores_2004;Boca Juniors - Once Caldas;2004
Sao Paulo;https://es.wikipedia.org/wiki/Copa_Libertadores_2005;Sao Paulo - Atlético Paranaense;2005
Internacional;https://es.wikipedia.org/wiki/Copa_Libertadores_2006;Sao Paulo - Internacional;2006
Boca Juniors;https://es.wikipedia.org/wiki/Copa_Libertadores_2007;Boca Juniors - Gremio;2007
Liga de Quito;https://es.wikipedia.org/wiki/Copa_Libertadores_2008;Liga de Quito - Fluminense;2008
Estudiantes de la Plata;https://es.wikipedia.org/wiki/Copa_Libertadores_2009;Estudiantes de la Plata - Cruzeiro;2009
Internacional;https://es.wikipedia.org/wiki/Copa_Libertadores_2010;Internacional - Guadalajara;2010
Santos;https://es.wikipedia.org/wiki/Copa_Libertadores_2011;Peñarol - Santos;2011
Corinthians;https://es.wikipedia.org/wiki/Copa_Libertadores_2012;Corinthians - Boca Juniors;2012
Atlético Mineiro;https://es.wikipedia.org/wiki/Copa_Libertadores_2013;Olimpia - Atlético Mineiro;2013
San Lorenzo;https://es.wikipedia.org/wiki/Copa_Libertadores_2014;San Lorenzo - Nacional;2014
River Plate;https://es.wikipedia.org/wiki/Copa_Libertadores_2015;Tigres - River Plate;2015
Atlético Nacional;https://es.wikipedia.org/wiki/Copa_Libertadores_2016;Independiente del Valle - Atlético Nacional;2016
Gremio;https://es.wikipedia.org/wiki/Copa_Libertadores_2017;Gremio - Lanus;2017
River Plate;https://es.wikipedia.org/wiki/Copa_Libertadores_2018;Boca Juniors - River Plate;2018
Flamengo;https://es.wikipedia.org/wiki/Copa_Libertadores_2019;Flamengo - River Plate;2019
Palmeiras;https://es.wikipedia.org/wiki/Copa_Libertadores_2020;Palmeiras - Santos;2020
